,Recommender,Pre@5,Pre@10,Rec@5,Rec@10,NDCG@5,NDCG@10
0,ML100-MostPop,0.21617021276595744,0.19255319148936173,0.07065926711599416,0.11425943901460381,0.23050040907317543,0.22076740254314156
1,ML100-BPR,0.3633617021276596,0.3099148936170213,0.12788971266521795,0.20918368656756323,0.38956220809896497,0.3695775051420808
2,ML100-NCF,0.254,0.2357659574468085,0.08442874754111472,0.14968746558694596,0.26500099609321326,0.26635680106544246
3,PDA2018-MostPop,0.21617021276595744,0.19255319148936173,0.07065926711599416,0.11425943901460381,0.23050040907317543,0.22076740254314156
4,PDA2018-BPR,0.3382127659574468,0.28806382978723405,0.12139673757076067,0.19804452075999807,0.36151202937304117,0.34419114288624836
5,PDA2018-NCF,0.25348936170212766,0.23587234042553193,0.08468647872988537,0.15054352990753847,0.2597385474920277,0.2635036646876717
