,Recommender,Pre@5,Pre@10,Rec@5,Rec@10,NDCG@5,NDCG@10
0,ML100-UserKNN,0.33592203441562046,0.3420113254632005,0.3083690167640206,0.45481862017302366,0.5143649590045626,0.4487008547709646
1,ML100-ItemKNN,0.33101903195789295,0.37692873481375255,0.29895758922789656,0.49559067388591577,0.4158508676784539,0.3767307240112265
2,PDA2018-UserKNN,0.3349531259086546,0.3369927419562269,0.3120548420050868,0.4554397153612676,0.5347254270084295,0.4644519082732301
3,PDA2018-ItemKNN,0.3283281319165877,0.37993260312523136,0.29659881163810964,0.4964968474947316,0.4320438612326689,0.39164477521889746
